coherent_drawer_contradiction,coherent_static_contradiction,continuity_advantage_static_minus_drawer,cues_used,drawer_attachment_score,drawer_continuity_median,drawer_contradiction_run,drawer_switch_count,drawer_switch_fraction,experiment_set,experimental_identity_preference,original_frame_id,proposal_id,q_m,region_directory,source_layer,static_continuity_median,static_contradiction_run,static_disocclusion_score,static_switch_count,static_switch_fraction,strong_drawer_attachment,strong_static_disocclusion
False,False,0.3073283680023249,"{""drawer"": [""drawer_attachment""], ""static"": [""surface_continuity_advantage""]}",1.0,0.560412459762623,0,0,0.0,ambiguity,unresolved,201,frame_201_layer_28,0.2758790548320902,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/053_frame_201_layer_28,28,0.8677408277649479,0,0.3333333333333333,0,0.0,True,False
False,False,0.2098959631826287,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.3333333333333333,0.3778899216360819,0,0,0.0,ambiguity,unresolved,202,frame_202_layer_0,0.27760910093009805,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/054_frame_202_layer_0,0,0.5877858848187106,0,0.3333333333333333,0,0.0,False,False
False,False,0.7284667768902799,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.0,0.08164332380043776,0,0,0.0,ambiguity,unresolved,202,frame_202_layer_3,0.27760910093009805,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/055_frame_202_layer_3,3,0.8101101006907178,0,0.4821035412742638,2,0.2857142857142857,False,False
False,False,-0.03113683518695265,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.5714285714285714,0.5216715244960961,0,0,0.0,ambiguity,unresolved,202,frame_202_layer_6,0.27760910093009805,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/056_frame_202_layer_6,6,0.49053468930914346,0,0.6140251194402282,0,0.0,True,False
False,False,0.0012261600429080977,"{""drawer"": [], ""static"": []}",0.09523809523809523,0.712743567251937,0,0,0.0,ambiguity,unresolved,202,frame_202_layer_10,0.27760910093009805,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/057_frame_202_layer_10,10,0.7139697272948451,0,0.49296997767204537,0,0.0,False,False
False,False,0.30044161060046704,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.19047619047619047,0.49945920900201,0,0,0.0,ambiguity,unresolved,202,frame_202_layer_24,0.27760910093009805,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/058_frame_202_layer_24,24,0.799900819602477,0,0.3333333333333333,0,0.0,False,False
False,False,0.30616081455046573,"{""drawer"": [""drawer_attachment""], ""static"": [""surface_continuity_advantage""]}",1.0,0.5638368795145832,0,0,0.0,ambiguity,unresolved,202,frame_202_layer_28,0.27760910093009805,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/059_frame_202_layer_28,28,0.8699976940650489,0,0.3333333333333333,0,0.0,True,False
False,False,0.23328800401480831,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.3333333333333333,0.33918302671798084,0,0,0.0,ambiguity,unresolved,203,frame_203_layer_0,0.2815773461555924,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/060_frame_203_layer_0,0,0.5724710307327892,0,0.3333333333333333,0,0.0,False,False
False,False,0.725224963697532,"{""drawer"": [], ""static"": [""surface_continuity_advantage""]}",0.0,0.05157949292125452,0,0,0.0,ambiguity,unresolved,203,frame_203_layer_3,0.2815773461555924,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/061_frame_203_layer_3,3,0.7768044566187865,0,0.4821035412742638,2,0.2857142857142857,False,False
False,False,0.025660440873339962,"{""drawer"": [""drawer_attachment""], ""static"": []}",0.47619047619047616,0.49421591393284536,0,0,0.0,ambiguity,unresolved,203,frame_203_layer_6,0.2815773461555924,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v4/surface_identity_visibility_audit_001/ambiguity_regions/062_frame_203_layer_6,6,0.5198763548061853,0,0.6140251194402282,0,0.0,True,False
