original_frame_id,proposal_id,source_layer,control_group,decision,formal_ownership_label,decision_reason,observation_count,informative_observation_count,effective_chain_length,censored_observation_count,ambiguous_neutral_observation_count,posterior_moving_before_censor,posterior_moving_after_censor,aggregate_evidence_before_censor,aggregate_evidence_after_censor,tangent_motion,trusted_finite_physical_edge,short_censored,short_ambiguous,short_moving_evidence,short_static_evidence,medium_censored,medium_ambiguous,medium_moving_evidence,medium_static_evidence,long_censored,long_ambiguous,long_moving_evidence,long_static_evidence
201,frame_201_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,insufficient_retained_one_model_compatible_observations,22,1,1,16,5,0.013399488489159535,0.013399488489159535,-4.299048673480185,-4.299048673480185,True,True,0,3,0,0,1,2,0,0,15,0,0,1
201,frame_201_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,13,13,8,1,1.5999647252392908e-42,1.5999647252392908e-42,-96.23859232347266,-96.23859232347266,False,True,0,1,0,2,0,0,0,3,8,0,0,8
201,frame_201_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,8,8,7,6,7.26274350449322e-18,7.26274350449322e-18,-39.46377402325888,-39.46377402325888,True,False,0,3,0,0,0,3,0,0,7,0,0,9
201,frame_201_layer_10,10,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,22,0,0,18,1,9.313917999756676e-82,0.5,-186.58046778496748,0.0,True,False,1,0,1,1,1,1,0,1,16,0,0,0
201,frame_201_layer_12,12,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,3,3,15,3,7.771683064649313e-136,2.3387222800691207e-20,-311.1010858956304,-45.20209711380074,True,False,0,3,0,0,3,0,0,0,12,0,0,4
201,frame_201_layer_24,24,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,2,2,17,2,6.477437120074274e-13,6.477437120074274e-13,-28.06528128295233,-28.06528128295233,True,True,0,2,0,1,3,0,0,0,14,0,0,2
201,frame_201_layer_28,28,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,22,10,10,0,8,5.267635018207711e-29,5.267635018207711e-29,-65.11338619814681,-65.11338619814681,True,True,0,3,0,0,0,3,0,0,0,2,0,14
202,frame_202_layer_0,0,ambiguity_116,UNKNOWN,UNKNOWN,tangent_or_repeated_plane_without_trusted_finite_physical_edge,21,1,1,15,5,0.012707938630736774,0.012707938630736774,-4.352739016624674,-4.352739016624674,True,False,0,2,0,0,0,3,0,0,15,0,0,1
202,frame_202_layer_3,3,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,11,11,9,1,2.982127136580612e-36,2.982127136580612e-36,-81.80042649768372,-81.80042649768372,False,True,0,1,0,1,0,0,0,3,9,0,0,7
202,frame_202_layer_6,6,ambiguity_116,WORLD_STATIC,WORLD_STATIC,retained_frozen_noise_observations_favor_static_model,21,8,8,7,5,1.1082558941525767e-17,1.1082558941525767e-17,-39.04115906783761,-39.04115906783761,True,False,0,2,0,0,0,3,0,0,7,0,0,9
