original_frame_id,q_m,proposal_id,source_layer,formal_v4_label,v5_decision,decision_reason,static_verified_active,drawer_verified_active,static_verified_fraction,drawer_verified_fraction,accepted_causal_disocclusion_events,static_contradiction_veto,drawer_contradiction_veto,region_directory
193,0.1583840011236365,frame_193_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,12,7,0.6,0.35,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/010_frame_193_layer_0
193,0.1583840011236365,frame_193_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,17,0.15,0.85,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/011_frame_193_layer_6
193,0.1583840011236365,frame_193_layer_11,11,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,1,11,0.05,0.55,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/012_frame_193_layer_11
194,0.17589940581780827,frame_194_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,10,4,0.5,0.2,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/013_frame_194_layer_0
194,0.17589940581780827,frame_194_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,3,16,0.15,0.8,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/014_frame_194_layer_6
194,0.17589940581780827,frame_194_layer_11,11,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,1,10,0.05,0.5,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/015_frame_194_layer_11
195,0.19341339188972073,frame_195_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,11,5,0.55,0.25,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/016_frame_195_layer_0
195,0.19341339188972073,frame_195_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,7,16,0.35,0.8,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/017_frame_195_layer_6
195,0.19341339188972073,frame_195_layer_11,11,unknown,UNKNOWN,insufficient_positive_physical_evidence,7,11,0.35,0.55,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/018_frame_195_layer_11
195,0.19341339188972073,frame_195_layer_28,28,unknown,UNKNOWN,insufficient_positive_physical_evidence,20,4,1.0,0.2,0,False,True,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/019_frame_195_layer_28
196,0.2117328619537343,frame_196_layer_0,0,unknown,UNKNOWN,insufficient_positive_physical_evidence,13,5,0.65,0.25,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/020_frame_196_layer_0
196,0.2117328619537343,frame_196_layer_6,6,unknown,MOVING,positive_moving_physical_evidence_no_static_conflict,11,17,0.55,0.85,0,False,False,/workspace_whz_worktrees/funrec-assignment-v3_outputs/geometry_interior_v5/unknown_116_physical_events_001/regions/021_frame_196_layer_6
