track_id,label,reason,unique_frame_count,q_span_m,q_span_fraction,static_median_residual_m,static_p90_residual_m,static_max_residual_m,E_static_m,drawer_median_residual_m,drawer_p90_residual_m,drawer_max_residual_m,E_drawer_m,observation_confidence
709,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.05194416058963419,0.08435523043427336,0.09466194419281578,0.08435523043427336,0.05240640272405003,0.08446985068798073,0.09523504546135264,0.08446985068798073,1.0
710,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.03208504565665491,0.056789253476686376,0.05809302071230696,0.056789253476686376,0.031378910774065225,0.060037933157571305,0.06178844132475571,0.060037933157571305,0.999996715121799
711,unknown,unknown_insufficient_support,3,0.015765555121205144,0.05251166707232335,0.01176240388160734,0.01831845385292244,0.019957466345751212,0.01831845385292244,0.010541495966307064,0.026794851580621285,0.03085819048419984,0.026794851580621285,0.9999989668528239
712,unknown,unknown_insufficient_support,3,0.015765555121205144,0.05251166707232335,0.02618766055644525,0.028023619112175432,0.028482608751107977,0.028023619112175432,0.021553840662042894,0.0368608373528367,0.04068758652553515,0.0368608373528367,1.0
713,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.04291691089907171,0.08349064295524698,0.08488947124921138,0.08349064295524698,0.04586973466638965,0.08393906418492277,0.08488947124921138,0.08393906418492277,0.9995362030135261
714,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.038574816830875186,0.05240700934741303,0.08352425779050233,0.05240700934741303,0.04315665667266729,0.05345901461418996,0.08352425779050233,0.05345901461418996,0.9998942746056451
715,unknown,unknown_low_excitation,5,0.015765555121205144,0.05251166707232335,0.030238856052341074,0.0501669377137533,0.05341943711170461,0.0501669377137533,0.030238856052341074,0.06154153808441034,0.06207170277649072,0.06154153808441034,0.9995576739311218
716,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.02952409090026585,0.05334207931833282,0.055141203255533414,0.05334207931833282,0.031092814740076517,0.053393452070062526,0.05520614432046922,0.053393452070062526,1.0
717,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.029023698066282144,0.03715618749405761,0.05352756058658111,0.03715618749405761,0.03193192230250326,0.042636646994282726,0.05352756058658111,0.042636646994282726,0.9999998145633273
718,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.024928903224272967,0.03636654389923492,0.040267511991513114,0.03636654389923492,0.0294258004758429,0.040642838635212584,0.04116950566056817,0.040642838635212584,0.9999999829701015
719,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.031244781880116475,0.05903039666925706,0.07251717437822615,0.05903039666925706,0.0312638772529394,0.0650872935697364,0.07254504564416459,0.0650872935697364,0.9999579522344801
720,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.023437840858563333,0.05924671315129148,0.06514169937652095,0.05924671315129148,0.023437840858563333,0.0717575999192296,0.07307790757563155,0.0717575999192296,0.9974521824291774
721,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.02567149474521584,0.04194106939850824,0.04600572146168024,0.04194106939850824,0.029821073978442227,0.04194106939850822,0.04600572146168022,0.04194106939850822,1.0
722,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.02501767868840759,0.03172600166686202,0.03381547852029453,0.03172600166686202,0.02663275275973303,0.03805050857112286,0.03809015139621516,0.03805050857112286,0.9999980628490448
723,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.02227146999948438,0.02982657148530709,0.03363476801941205,0.02982657148530709,0.022324118770518583,0.030289149564725237,0.034051459250501494,0.030289149564725237,1.0
724,unknown,unknown_low_excitation,4,0.015765555121205144,0.05251166707232335,0.015130263347310121,0.019805419982091253,0.020001337676959916,0.019805419982091253,0.01938438782203309,0.022479679562635798,0.023006468084365968,0.022479679562635798,0.9999364167451859
725,unknown,unknown_low_excitation,9,0.015765555121205144,0.05251166707232335,0.038282516498404695,0.06544925790762558,0.07725716863478221,0.06544925790762558,0.03858627183426995,0.07879184674187992,0.08519329795526086,0.07879184674187992,0.9999988608890109
726,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.02348916403348626,0.042281698730287164,0.058816864734749,0.042281698730287164,0.02841097581557777,0.039072986170909804,0.05468740081756574,0.039072986170909804,1.0
727,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.015595190234630098,0.0239569023758294,0.026613537307692847,0.0239569023758294,0.020669469584424532,0.023955215899588246,0.0282783725209739,0.023955215899588246,1.0
728,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.020944214797441834,0.03209645127427149,0.03448745918172786,0.03209645127427149,0.02120291535647112,0.031210279098048285,0.03728385297972109,0.031210279098048285,0.9999999850988388
729,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.02190647566226966,0.026963379044521597,0.02876737209169156,0.026963379044521597,0.02505532543015655,0.02715076339294494,0.02868038045782187,0.02715076339294494,1.0
730,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.0196996935717525,0.08623342366182891,0.0950200359604304,0.08623342366182891,0.0196996935717525,0.0911412614133253,0.0950200359604304,0.0911412614133253,0.9999349798474994
731,unknown,unknown_insufficient_support,2,0.006771649419739623,0.022554905116000556,0.009829247669045416,0.009829247669045553,0.009829247669045587,0.009829247669045553,0.013172001310585945,0.013172001310585945,0.013172001310585945,0.013172001310585945,1.0
732,unknown,unknown_low_excitation,5,0.015765555121205144,0.05251166707232335,0.021186667357308377,0.037469187141070934,0.04561657189719516,0.037469187141070934,0.021186667357308377,0.043513228937012996,0.04561657189719516,0.043513228937012996,1.0
733,unknown,unknown_low_excitation,8,0.015765555121205144,0.05251166707232335,0.014679786165533082,0.022409345537854033,0.026467577964115807,0.022409345537854033,0.014551298415102595,0.022388680029551213,0.025113261776046125,0.022388680029551213,1.0
734,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.016568071603100577,0.02382917597047048,0.0299019839929632,0.02382917597047048,0.017772090452634882,0.023660369914214018,0.030460804439687985,0.023660369914214018,1.0
735,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.034422932980044604,0.08297071415425601,0.10004130898242435,0.08297071415425601,0.03703155822146339,0.0795346459029024,0.09658466357976886,0.0795346459029024,0.9999998978206089
736,unknown,unknown_low_excitation,7,0.015765555121205144,0.05251166707232335,0.023651945459258677,0.07960464345008136,0.15900980643091328,0.07960464345008136,0.023121823471026343,0.08157725960129117,0.15706400589702846,0.08157725960129117,0.9999776908329555
737,unknown,unknown_low_excitation,4,0.015765555121205144,0.05251166707232335,0.02693210749043832,0.05062123805148982,0.05701683618433224,0.05062123805148982,0.030048169042304736,0.055553054196620794,0.06373220754772417,0.055553054196620794,0.9999922513961792
738,unknown,unknown_insufficient_support,2,0.006771649419739623,0.022554905116000556,0.011010598064503144,0.011010598064503182,0.011010598064503191,0.011010598064503182,0.014361325384583606,0.014361325384583639,0.014361325384583646,0.014361325384583639,1.0
739,unknown,unknown_insufficient_support,3,0.015765555121205144,0.05251166707232335,0.018752177194142315,0.03165702353781485,0.03488323512373298,0.03165702353781485,0.02545187479065019,0.03986414228053613,0.04346720915300761,0.03986414228053613,1.0
