libpaper1:amd64	1.1.28build2	amd64
libpathplan4:amd64	2.42.2-6ubuntu0.1	amd64
libpciaccess0:amd64	0.16-3	amd64
libpcre2-8-0:amd64	10.39-3ubuntu0.1	amd64
libpcre3:amd64	2:8.39-13ubuntu0.22.04.1	amd64
libperl5.34:amd64	5.34.0-3ubuntu1.2	amd64
libpgm-5.3-0:amd64	5.3.128~dfsg-2	amd64
libpixman-1-0:amd64	0.40.0-1ubuntu0.22.04.1	amd64
libpng16-16:amd64	1.6.37-3ubuntu0.5	amd64
libpocketsphinx3:amd64	0.8.0+real5prealpha+1-14ubuntu1	amd64
libpolkit-agent-1-0:amd64	0.105-33ubuntu0.1	amd64
libpolkit-gobject-1-0:amd64	0.105-33ubuntu0.1	amd64
libpostproc55:amd64	7:4.4.2-0ubuntu0.22.04.1	amd64
libprocps8:amd64	2:3.3.17-6ubuntu2	amd64
libpsl5:amd64	0.21.0-1.2build2	amd64
libpulse0:amd64	1:15.99.1+dfsg1-1ubuntu2.2	amd64
libpython3-dev:amd64	3.10.6-1~22.04.1	amd64
libpython3-stdlib:amd64	3.10.6-1~22.04.1	amd64
libpython3.10:amd64	3.10.12-1~22.04.15	amd64
libpython3.10-dev:amd64	3.10.12-1~22.04.15	amd64
libpython3.10-minimal:amd64	3.10.12-1~22.04.15	amd64
libpython3.10-stdlib:amd64	3.10.12-1~22.04.15	amd64
libquadmath0:amd64	12.3.0-1ubuntu1~22.04.3	amd64
librabbitmq4:amd64	0.10.0-1ubuntu2	amd64
libraqm0:amd64	0.7.0-4ubuntu1	amd64
libraw1394-11:amd64	2.1.2-2build2	amd64
libreadline8:amd64	8.1.2-1	amd64
librhash0:amd64	1.4.2-1ubuntu1	amd64
librsvg2-2:amd64	2.52.5+dfsg-3ubuntu0.2	amd64
librsvg2-common:amd64	2.52.5+dfsg-3ubuntu0.2	amd64
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build4	amd64
librubberband2:amd64	2.0.0-2	amd64
libsamplerate0:amd64	0.2.2-1build1	amd64
libsasl2-2:amd64	2.1.27+dfsg2-3ubuntu1.2	amd64
libsasl2-modules-db:amd64	2.1.27+dfsg2-3ubuntu1.2	amd64
libsdl2-2.0-0:amd64	2.0.20+dfsg-2ubuntu1.22.04.1	amd64
libseccomp2:amd64	2.5.3-2ubuntu2	amd64
libselinux1:amd64	3.3-1build2	amd64
libsemanage-common	3.3-1build2	all
libsemanage2:amd64	3.3-1build2	amd64
libsensors-config	1:3.6.0-7ubuntu1	all
libsensors5:amd64	1:3.6.0-7ubuntu1	amd64
libsepol2:amd64	3.3-1build1	amd64
libserd-0-0:amd64	0.30.10-2	amd64
libserf-1-1:amd64	1.3.9-10ubuntu2	amd64
libshine3:amd64	3.1.1-2	amd64
libslang2:amd64	2.3.2-5build4	amd64
libsm6:amd64	2:1.2.3-1build2	amd64
libsmartcols1:amd64	2.37.2-4ubuntu3	amd64
libsnappy1v5:amd64	1.1.8-1build3	amd64
libsndfile1:amd64	1.0.31-2ubuntu0.2	amd64
libsndio7.0:amd64	1.8.1-1.1	amd64
libsodium23:amd64	1.0.18-1ubuntu0.22.04.1	amd64
libsord-0-0:amd64	0.16.8-2	amd64
libsoxr0:amd64	0.1.3-4build2	amd64
libspdlog-dev:amd64	1:1.9.2+ds-0.2	amd64
libspdlog1:amd64	1:1.9.2+ds-0.2	amd64
libspeex1:amd64	1.2~rc1.2-1.1ubuntu3	amd64
libsphinxbase3:amd64	0.8+5prealpha+1-13build1	amd64
libsqlite3-0:amd64	3.37.2-2ubuntu0.5	amd64
libsqlite3-dev:amd64	3.37.2-2ubuntu0.5	amd64
libsratom-0-0:amd64	0.6.8-1	amd64
libsrt1.4-gnutls:amd64	1.4.4-4	amd64
libss2:amd64	1.46.5-2ubuntu1.1	amd64
libssh-4:amd64	0.9.6-2ubuntu0.22.04.7	amd64
