track_id,label,reason,unique_frame_count,q_span_m,q_span_fraction,static_median_residual_m,static_p90_residual_m,static_max_residual_m,E_static_m,drawer_median_residual_m,drawer_p90_residual_m,drawer_max_residual_m,E_drawer_m,observation_confidence
296,unknown,unknown_insufficient_support,2,0.013986480386391165,0.04658595247153026,0.021838914011882843,0.021838914011882996,0.021838914011883034,0.021838914011882996,0.02374210740796252,0.02374210740796252,0.02374210740796252,0.02374210740796252,0.6247532157650904
297,unknown,unknown_low_excitation,4,0.044521437506487516,0.14829131520890015,0.046583850020258104,0.05217028653090821,0.054434799222514985,0.05217028653090821,0.059922924402620745,0.07172207184054442,0.07304364709372406,0.07172207184054442,0.35682662101689544
298,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
299,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
300,unknown,unknown_insufficient_support,2,0.02772394409191481,0.09234248403522441,0.047013348218884074,0.04701334821888426,0.0470133482188843,0.04701334821888426,0.05940461754240296,0.059404617542403136,0.05940461754240318,0.059404617542403136,0.5741074219507305
301,unknown,unknown_insufficient_support,2,0.02772394409191481,0.09234248403522441,0.032456964540151644,0.03245696454015182,0.03245696454015186,0.03245696454015182,0.0453378353779987,0.04533783537799887,0.04533783537799891,0.04533783537799887,0.6306901751109142
302,unknown,unknown_insufficient_support,2,0.02772394409191481,0.09234248403522441,0.03777474884343063,0.03777474884343063,0.03777474884343063,0.03777474884343063,0.05057061463948133,0.050570614639481336,0.050570614639481336,0.050570614639481336,0.6057507423925991
303,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
304,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
305,unknown,unknown_insufficient_support,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
306,unknown,unknown_insufficient_support,2,0.013986480386391165,0.04658595247153026,0.04146900718259026,0.04146900718259027,0.04146900718259028,0.04146900718259027,0.04623191402827696,0.046231914028277345,0.046231914028277435,0.046231914028277345,0.5663895086004369
